gene	KO	Rescue	WT
gene_15637	0	0	0
gene_15639	21	18	51
gene_15640	281	420	731
gene_15641	7	9	17
gene_15642	230	379	702
gene_15645	1246	2296	4236
gene_15646	69	131	195
gene_15647	759	1336	2616
gene_15649	1	1	1
gene_15650	159	319	447
gene_15651	2	10	10
gene_15656	0	0	0
gene_15661	58	84	126
gene_15662	0	1	0
gene_15663	74	129	232
gene_15664	137	242	457
gene_15665	253	512	800
gene_15666	198	58	134
gene_15667	0	0	7
gene_15683	0	1	3
gene_15684	0	1	1
gene_15685	13	19	40
gene_15687	218	44	54
gene_15688	3	11	5
gene_15689	276	561	1292
gene_15690	0	0	0
gene_15691	3	0	0
gene_15692	1892	2545	6207
gene_15693	0	0	1
gene_15694	4	3	12
gene_15695	1954	867	1918
gene_15696	328	517	1032
gene_15697	54	46	170
gene_15698	108	103	322
gene_15699	1078	1744	3846
gene_15700	377	623	1474
gene_15704	421	428	1304
gene_15705	0	2	0
gene_15706	0	0	1
gene_15708	407	526	1252
gene_15710	2	0	7
gene_15711	4429	99	208
gene_15712	187	273	586
gene_15713	111	247	466
gene_15714	2	4	5
gene_15715	414	685	1332
gene_15716	296	477	996
gene_15717	562	963	1740
gene_15718	1	2	6
gene_15719	19	32	40
gene_15720	2	1	0
gene_15721	8	19	39
gene_15722	0	0	1
gene_15723	2	6	10
gene_15726	0	0	0
gene_15728	1093	1641	3356
gene_15731	239	469	884
gene_15732	34	62	138
gene_15734	224	283	608
gene_15735	1880	3299	7048
gene_15736	3	3	3
gene_15746	0	0	1
gene_15753	0	1	7
gene_15756	291	429	916
gene_15757	175	296	541
gene_15758	141	180	347
gene_15759	43	51	94
gene_15761	892	1044	2274
gene_15762	212	227	535
gene_15764	412	11	31
gene_15765	1	0	0
gene_15766	7	4	20
gene_15767	572	803	1642
gene_15770	108	177	329
gene_15771	1	3	1
gene_15772	0	0	1
gene_15773	176	261	505
gene_15774	110	152	254
gene_15775	0	1	0
gene_15776	686	1003	1753
gene_15777	533	822	2038
gene_15778	0	0	1
gene_15779	223	247	613
gene_15783	63	143	223
gene_15784	15	30	44
gene_15785	122	269	439
gene_15786	215	375	764
gene_15787	194	315	631
gene_15788	623	1072	2008
gene_15789	275	393	789
gene_15790	295	496	961
gene_15798	557	1030	1984
gene_15799	0	0	0
gene_15800	269	464	1288
gene_15801	5233	7208	13344
gene_15802	35	54	84
gene_15803	2570	4627	8758
gene_15804	803	1596	3172
gene_15814	0	0	2
gene_15815	0	0	0
gene_15816	0	0	1
gene_15827	3	0	1
gene_15828	0	1	2
gene_15829	661	1628	2852
gene_15831	66	102	156
gene_15832	1	0	0
gene_15833	2	0	0
gene_15835	220	14	45
gene_15840	841	1931	3489
gene_15841	0	0	0
gene_15842	0	1	0
gene_15847	17	33	40
gene_15848	1	3	3
gene_15849	566	1241	2370
gene_15850	0	1	0
gene_15852	3009	6035	11400
gene_15853	2	1	0
gene_15854	2262	4290	7433
gene_15855	735	1283	2518
gene_15858	3	11	9
gene_15864	411	930	1744
gene_15865	363	767	1422
gene_15866	565	843	903
gene_15868	9977	12771	32798
gene_15871	129	369	773
gene_15872	740	1168	2516
gene_15873	1	0	4
gene_15874	235	434	769
gene_15880	9706	3521	7194
gene_15888	0	0	0
gene_15889	0	0	0
gene_15891	0	0	0
gene_15897	447	1007	1746
gene_15899	3322	4757	11148
gene_15900	429	736	1531
gene_15901	191	338	631
gene_15903	28	44	69
gene_15907	65	53	173
gene_15908	3	6	27
gene_15909	2447	4570	9160
gene_15912	0	0	0
gene_15913	1190	2053	4007
gene_15914	0	0	0
gene_15915	1	3	3
gene_15916	0	2	13
gene_15917	0	1	3
gene_15918	134	361	514
gene_15920	0	4	5
gene_15921	4945	10095	19829
gene_15922	0	0	5
gene_15927	0	0	2
gene_15931	279	421	645
gene_15933	0	0	3
gene_15934	7	16	24
gene_15935	1289	2423	4607
gene_15936	4	3	7
gene_15941	4	7	12
gene_15942	0	0	1
gene_15943	0	0	0
gene_15947	0	0	0
gene_15954	0	5	3
gene_15955	579	1122	2008
gene_15956	727	1371	2557
gene_15957	1	0	3
gene_15958	332	839	1453
gene_15959	0	1	3
gene_15960	0	0	0
gene_15961	0	0	1
gene_15966	2	0	1
gene_15967	564	712	1843
gene_15968	96	93	278
gene_15969	0	0	1
gene_15970	0	0	0
gene_15971	0	0	1
gene_15972	26	46	66
gene_15973	430	890	1733
gene_15974	65	118	283
gene_15975	29	56	96
gene_15976	98	164	377
gene_15977	85	150	361
gene_15978	1172	1952	4583
gene_15979	0	0	0
gene_15980	106	221	348
gene_15981	826	1396	2765
gene_15982	255	579	952
gene_15983	1747	4007	7299
gene_15984	0	3	0
gene_15985	1	8	4
gene_15986	1	0	1
gene_15991	0	0	0
gene_15996	0	1	0
gene_15997	32	68	127
gene_15999	2	1	0
gene_16002	1106	2199	4627
gene_16006	6385	13683	28540
gene_16007	225	449	734
gene_16008	954	1993	3334
gene_16009	53	134	178
gene_16010	12	26	40
gene_16011	0	0	2
gene_16012	1	6	8
gene_16015	3	20	53
gene_16017	31	146	340
gene_16021	0	0	0
gene_16024	291	574	1029
gene_16025	0	1	0
gene_16026	7	7	21
gene_16027	1052	1125	1930
gene_16028	2	5	7
gene_16029	0	0	1
gene_16030	17142	26211	62067
gene_16031	355	841	1782
gene_16032	0	2	3
gene_16035	0	3	0
gene_16036	552	1134	2090
gene_16037	0	1	0
gene_16038	159	287	511
gene_16039	424	929	1674
gene_16040	0	0	0
gene_16041	727	1148	2237
gene_16042	385	715	1222
gene_16043	0	2	3
gene_16047	545	839	1522
gene_16048	70	126	214
gene_16057	228	444	919
gene_16059	1207	2630	4302
gene_16066	1	2	0
gene_16068	868	1435	2868
gene_16072	0	0	0
gene_16075	31	129	151
gene_16076	19	32	26
gene_16077	1	2	0
gene_16078	0	2	1
gene_16079	0	0	0
gene_16082	1	18	5
gene_16083	0	0	5
gene_16084	0	0	0
gene_16085	0	0	1
gene_16086	222	377	753
gene_16087	1091	2119	3954
gene_16088	5	11	9
gene_16089	5	7	14
gene_16090	3049	6844	12616
gene_16091	0	1	1
gene_16092	0	0	1
gene_16093	25	30	70
gene_16094	243	399	1197
gene_16095	2	2	7
gene_16096	0	4	3
gene_16097	235	241	893
gene_16099	391	1382	2908
gene_16100	0	0	0
gene_16103	1	2	8
gene_16104	124	172	290
gene_16105	695	1006	1841
gene_16106	0	0	0
gene_16109	0	0	0
gene_16110	0	0	0
gene_16112	426	869	1447
gene_16113	17	17	54
gene_16114	20	27	59
gene_16115	865	1787	3636
gene_16116	953	1853	3966
gene_16117	2	6	11
gene_16118	112	274	495
gene_16119	0	1	0
gene_16120	0	0	0
gene_16127	188	400	632
gene_16128	2	1	1
gene_16129	462	978	1734
gene_16130	18	38	64
gene_16131	362	750	1341
gene_16132	178	400	686
gene_16133	8	18	25
gene_16135	0	0	2
gene_16136	2	10	7
gene_16137	13	9	21
gene_16138	37	188	413
gene_16148	18	58	138
gene_16149	1375	3124	5944
gene_16150	470	951	1863
gene_16151	1465	3176	5201
gene_16152	0	0	0
gene_16163	60	73	145
gene_16164	356	612	1348
gene_16165	468	911	1733
gene_16166	869	1679	2812
gene_16167	556	970	1957
gene_16168	2	0	0
gene_16169	0	2	0
gene_16172	385	875	1434
gene_16173	3	2	2
gene_16174	0	4	0
gene_16176	0	2	0
gene_16177	93	243	518
gene_16178	4	18	34
gene_16180	333	659	1346
gene_16181	198	409	773
gene_16182	2	3	13
gene_16183	0	1	0
gene_16185	0	2	9
gene_16192	1	8	17
gene_16195	0	0	0
gene_16196	508	1298	2212
gene_16198	1	0	0
gene_16201	84	204	384
gene_16202	9	7	13
gene_16203	1	9	24
gene_16204	335	756	1436
gene_16205	45	93	150
gene_16206	8	11	36
gene_16207	0	0	0
gene_16208	126	253	405
gene_16210	220	557	830
gene_16211	0	1	0
gene_16213	1584	4312	6644
gene_16214	65	197	268
gene_16215	129	227	384
gene_16216	134	229	390
gene_16217	945	1925	3679
gene_16218	0	0	0
gene_16219	3	0	6
gene_16220	37	72	112
gene_16221	2372	4927	9967
gene_16222	627	1414	2416
gene_16223	81	162	327
gene_16224	704	1354	2422
gene_16225	164	314	501
gene_16226	1	6	7
gene_16227	162	267	526
gene_16228	240	435	824
gene_16229	2	3	1
gene_16230	0	2	3
gene_16231	0	0	3
gene_16233	494	1112	2144
gene_16236	30	55	91
gene_16241	1538	2251	4715
gene_16242	14	26	31
gene_16243	106	241	338
gene_16244	2066	3010	6451
gene_16247	4	11	20
gene_16252	0	0	1
gene_16253	2512	4883	10045
gene_16254	1707	2866	6565
gene_16255	461	826	1900
gene_16256	10155	15449	38665
gene_16257	3483	5927	13839
gene_16258	32	33	119
gene_16259	235	334	640
gene_16260	331	548	1070
gene_16261	279	490	842
gene_16262	449	985	1793
gene_16264	1	1	0
gene_16265	0	0	2
gene_16266	0	0	0
gene_16267	0	2	8
gene_16268	46	101	163
gene_16269	3	4	6
gene_16271	448	676	1160
gene_16275	1147	2155	3864
gene_16276	40	87	133
gene_16277	2	0	1
gene_16278	5	4	13
gene_16279	592	1097	2048
gene_16280	686	1483	2493
gene_16281	706	1951	3050
gene_16282	0	0	0
gene_16283	0	1	0
gene_16285	0	1	3
gene_16287	181	436	789
gene_16290	32378	62566	127097
gene_16291	0	3	7
gene_16292	19402	39926	77509
gene_16293	0	0	0
gene_16294	2	8	21
gene_16295	0	0	2
gene_16296	0	1	0
gene_16297	7	41	44
gene_16298	932	1930	3686
gene_16299	0	3	0
gene_16305	2	7	10
gene_16306	628	1325	2619
gene_16307	24	54	72
gene_16308	2	4	7
gene_16309	535	1109	2165
gene_16310	80	173	354
gene_16311	1603	3396	6363
gene_16312	247	43	73
gene_16313	0	0	0
gene_16315	762	1699	3384
gene_16316	8	16	26
gene_16317	29	43	60
gene_16318	2130	4781	8818
gene_16320	18	44	92
gene_16321	0	0	0
gene_16322	14	22	56
gene_16323	827	1666	3321
gene_16325	0	0	1
gene_16326	1	0	1
gene_16327	71	118	193
gene_16329	646	1283	2145
gene_16330	1	0	0
gene_16331	16	15	26
gene_16332	0	0	0
gene_16333	806	1368	2869
gene_16334	659	1179	2328
gene_16335	1130	2005	3636
gene_16336	0	0	0
gene_16340	0	3	11
gene_16343	0	0	0
gene_16344	114	142	428
gene_16345	0	0	3
gene_16348	0	0	0
gene_16353	12	18	30
gene_16354	589	1359	2608
gene_16355	2	0	3
gene_16356	0	0	5
gene_16359	61	208	269
gene_16362	0	0	3
gene_16363	6616	12397	24134
gene_16364	0	0	0
gene_16365	482	1153	1910
gene_16368	0	0	0
gene_16370	1862	1072	1736
gene_16372	731	1030	2372
gene_16373	1	3	1
gene_16374	331	645	1231
gene_16375	757	1506	2893
gene_16376	2	1	4
gene_16382	0	0	5
gene_16393	520	1079	2251
gene_16398	10709	21415	46388
gene_16399	1546	2979	6071
gene_16400	14212	27074	54284
gene_16401	49	119	199
gene_16403	0	0	1
gene_16406	430	733	1840
gene_16407	1945	3961	8356
gene_16408	867	1518	3274
gene_16409	0	0	0
gene_16410	15	39	65
gene_16411	236	441	873
gene_16412	0	5	9
gene_16414	12721	29799	60554
gene_16415	992	2261	5167
gene_16416	4	3	16
gene_16417	45	48	108
gene_16419	231	297	604
gene_16420	1385	2829	5050
gene_16421	0	2	1
gene_16422	640	1239	2070
gene_16423	5	7	12
gene_16424	19	25	83
gene_16425	373	737	1740
gene_16426	20	37	74
gene_16427	0	0	0
gene_16428	1683	3181	5473
gene_16429	354	708	1483
gene_16430	1353	3601	8473
gene_16431	0	0	0
gene_16432	89	196	479
gene_16434	12	30	52
gene_16435	8	21	13
gene_16438	0	0	1
gene_16439	2	0	7
gene_16440	0	0	0
gene_16442	2	7	18
gene_16443	1	4	4
gene_16444	376	877	1873
gene_16445	0	2	3
gene_16447	151	326	685
gene_16448	3347	6762	14018
gene_16449	835	1507	3130
gene_16451	67	210	521
gene_16452	1	8	21
gene_16453	0	6	12
gene_16454	617	1136	2073
gene_16455	581	1073	1961
gene_16456	1549	3384	6916
gene_16457	3310	6997	12312
gene_16458	439	809	1699
gene_16459	1370	2296	5641
gene_16461	0	0	0
gene_16462	2	4	5
gene_16463	19123	33811	61650
gene_16464	3735	9258	17690
gene_16465	88	259	508
gene_16467	0	0	0
gene_16469	6	23	36
gene_16470	0	0	1
gene_16471	25	29	100
gene_16472	1467	4299	9147
gene_16474	30	70	116
gene_16475	1090	1747	3671
gene_16476	1642	2681	6075
gene_16477	80	155	408
gene_16478	4175	5846	13081
gene_16479	460	1723	2937
gene_16484	114	286	609
gene_16485	0	0	0
gene_16486	4917	10130	21698
gene_16487	2675	5353	10261
gene_16488	126	260	499
gene_16489	765	1588	3019
gene_16490	0	4	4
gene_16491	2884	6039	12805
gene_16492	0	0	1
gene_16493	3	6	19
gene_16495	0	5	0
gene_16497	3	4	8
gene_16500	0	1	5
gene_16501	4529	9924	22363
gene_16502	1167	2339	5620
gene_16503	0	2	3
gene_16504	873	2054	3880
gene_16505	0	2	1
gene_16506	0	3	0
gene_16507	59	117	204
gene_16508	15	25	31
gene_16509	0	2	0
gene_16510	0	0	0
gene_16511	7	8	13
gene_16512	321	542	1209
gene_16513	3044	5163	11965
gene_16514	475	914	1758
gene_16515	1	0	3
gene_16521	0	0	3
gene_16522	0	2	1
gene_16523	9	20	44
gene_16524	2410	4671	9000
gene_16526	4	1	4
gene_16527	0	4	5
gene_16528	950	2222	4114
gene_16529	0	0	1
gene_16531	24	36	106
gene_16538	2750	6192	11356
gene_16544	18	58	107
gene_16545	0	3	13
gene_16546	0	0	0
gene_16547	1408	3644	6215
gene_16549	112	300	515
gene_16550	1	0	3
gene_16551	0	2	0
gene_16553	23	3	22
gene_16554	16360	53381	149437
gene_16555	7071	16775	35703
gene_16556	26	33	75
gene_16560	0	0	1
gene_16562	384	531	1289
gene_16563	21	35	89
gene_16565	0	0	0
gene_16566	0	4	5
gene_16567	80	182	221
gene_16568	0	0	0
gene_16569	0	0	1
gene_16570	0	0	0
gene_16571	0	0	0
gene_16573	7	14	39
gene_16581	0	0	0
gene_16586	7	10	26
gene_16587	2260	3394	7708
gene_16588	0	0	0
gene_16590	0	0	3
gene_16591	65	63	170
gene_16592	2393	4272	9059
gene_16593	4076	7255	15900
gene_16594	5	15	40
gene_16595	0	2	1
gene_16596	31	36	66
gene_16597	5177	10511	21492
gene_16600	430	928	2305
gene_16601	50	121	249
gene_16602	1322	2586	6678
gene_16603	12	17	43
gene_16604	4	7	40
gene_16605	13	28	83
gene_16609	1	0	1
gene_16610	3	3	14
gene_16611	2	0	3
gene_16612	516	611	1725
gene_16618	0	0	1
gene_16619	0	0	0
gene_16620	248	381	948
gene_16621	0	2	13
gene_16622	4	13	32
gene_16623	12	23	68
gene_16624	0	1	0
gene_16626	443	705	1527
gene_16627	12	21	84
gene_16628	0	0	0
gene_16629	3	1	5
gene_16630	1083	1670	3748
gene_16631	176	267	677
gene_16638	0	0	11
gene_16639	0	0	3
gene_16644	0	7	8
gene_16645	1067	4063	4929
gene_16646	0	3	1
gene_16648	0	1	3
gene_16650	359	526	1293
gene_16651	206	325	806
gene_16652	109	218	380
gene_16653	27	69	107
gene_16654	187	288	801
gene_16655	3	4	9
gene_16656	449	815	1984
gene_16657	10	35	66
gene_16658	150	259	513
gene_16659	1	1	0
gene_16660	0	0	0
gene_16661	1	2	19
gene_16662	488	787	1675
gene_16663	6	13	41
gene_16664	3	8	32
gene_16665	1010	1321	2952
gene_16666	1539	2305	5356
gene_16667	1496	1120	3025
gene_16668	2774	4116	10467
gene_16669	4148	5596	14480
gene_16670	1150	1405	3957
gene_16671	5750	8110	20219
gene_16672	309	526	1452
gene_16673	627	769	1931
gene_16674	1947	2594	6003
gene_16675	1	1	2
gene_16676	389	809	1673
gene_16677	160	175	588
gene_16678	2	5	4
gene_16680	0	0	1
gene_16681	30	26	69
gene_16682	4	2	6
gene_16683	6402	8028	21179
gene_16684	767	1288	2528
gene_16685	12	10	19
gene_16686	3294	3951	10765
gene_16687	2752	3737	8753
gene_16688	59	84	189
gene_16689	8	24	40
gene_16690	333	636	1375
gene_16691	31	60	136
gene_16692	1469	1866	5252
gene_16693	6	3	3
gene_16694	12606	15455	42732
gene_16695	397	672	1263
gene_16696	2253	4116	9496
gene_16697	0	0	0
gene_16698	79	245	456
gene_16699	120	76	343
gene_16700	396	417	1109
gene_16701	1798	2828	6538
gene_16702	5494	3706	8788
gene_16703	886	1313	3103
gene_16704	1830	2467	6050
gene_16705	5	7	17
gene_16706	629	828	1946
gene_16707	873	1359	3229
gene_16708	1348	1575	3853
gene_16709	29	39	87
gene_16710	1895	2887	7389
gene_16711	1029	1822	4173
gene_16712	58	98	171
gene_16713	0	0	5
gene_16714	1516	2102	5313
gene_16715	0	2	5
gene_16716	13	21	34
gene_16717	577	862	2090
gene_16718	184	299	617
gene_16719	1452	2034	4730
gene_16720	6	2	11
gene_16721	656	991	2472
gene_16722	1184	1900	3928
gene_16723	536	857	1842
gene_16724	7	12	23
gene_16725	743	1055	2591
gene_16726	40	67	181
gene_16727	152	330	707
gene_16728	31	76	101
gene_16729	1207	1605	3980
gene_16730	606	793	2009
gene_16731	234	545	1528
gene_16732	318	504	1145
gene_16733	760	872	1998
gene_16734	48	53	151
gene_16735	600	782	1862
gene_16736	207	249	614
gene_16737	802	954	2613
gene_16738	404	539	1156
gene_16740	0	0	0
gene_16741	0	0	0
gene_16742	180	356	703
gene_16743	49	90	220
gene_16744	32509	34322	105635
gene_16745	112	199	421
gene_16746	206	469	914
gene_16747	370	473	1297
gene_16748	5	7	9
gene_16749	54	161	250
gene_16750	143	324	661
gene_16751	9	18	31
gene_16752	2	8	22
gene_16753	1473	2318	4741
gene_16754	29	77	141
gene_16755	0	1	1
gene_16760	4	13	10
gene_16761	126	240	651
gene_16766	3	2	12
gene_16767	257	532	969
gene_16768	1	0	0
gene_16769	5	7	9
gene_16775	0	1	0
gene_16777	882	1579	3749
gene_16778	5	9	24
gene_16779	13	27	73
gene_16781	54	125	323
gene_16782	9	22	69
gene_16783	0	0	1
gene_16784	548	1163	2100
gene_16786	193	515	922
gene_16787	1	2	4
gene_16790	275	636	1226
gene_16792	5	15	29
gene_16793	0	1	0
gene_16794	0	0	0
gene_16795	1288	3177	5925
gene_16796	84	134	278
gene_16797	260	447	950
gene_16798	1	0	12
gene_16799	181	353	651
gene_16800	1412	2553	5609
gene_16801	0	0	0
gene_16802	316	578	973
gene_16804	102	193	400
gene_16805	0	0	0
gene_16806	1	2	0
gene_16807	2	4	18
gene_16808	1	0	5
gene_16810	268	429	787
gene_16811	2	6	17
gene_16812	2	4	11
gene_16815	185	389	758
gene_16816	1	6	9
gene_16817	1201	2607	6040
gene_16818	316	667	1371
gene_16819	6	6	27
gene_16820	183	356	725
gene_16822	44	397	564
gene_16824	227	607	1035
gene_16826	0	0	1
gene_16830	447	1108	2156
gene_16835	472	732	1735
gene_16838	0	0	0
gene_16845	1	1	0
gene_16851	1	1	6
gene_16852	362	755	1809
gene_16854	0	0	0
gene_16860	15072	678	1481
gene_16863	0	0	7
gene_16864	0	5	3
gene_16865	212	483	898
gene_16867	1	17	25
gene_16868	0	0	1
gene_16870	241	564	1070
gene_16871	382	994	1969
gene_16872	948	1808	3937
gene_16873	360	42	109
gene_16875	0	0	0
gene_16879	0	0	0
gene_16881	31	44	83
gene_16882	0	0	0
gene_16883	3	3	5
gene_16885	0	0	2
gene_16886	683	1258	3080
gene_16887	484	1091	2000
gene_16888	0	0	1
gene_16889	148	613	1261
gene_16890	871	2347	4519
gene_16892	13	25	69
gene_16893	15	42	77
gene_16894	18173	31234	70239
gene_16895	0	0	2
gene_16896	70	122	246
gene_16897	36	80	174
gene_16898	0	0	0
gene_16901	488	1152	2418
gene_16902	3582	1052	1990
gene_16903	0	0	1
gene_16904	1	2	1
gene_16905	0	0	0
gene_16915	659	1231	2545
gene_16921	0	4	7
gene_16923	61	94	136
gene_16924	0	9	6
gene_16925	1384	2552	5631
gene_16926	267	406	972
gene_16927	95	140	355
gene_16928	0	2	9
gene_16929	1	3	11
gene_16930	1695	1729	4931
gene_16931	587	618	1739
gene_16932	0	1	0
gene_16933	150	237	686
gene_16935	0	0	0
gene_16936	32	64	190
gene_16937	0	0	0
gene_16938	0	0	0
gene_16940	0	0	1
gene_16951	339	314	740
gene_16957	362	712	1373
gene_16958	534	1104	2539
gene_16959	163	367	596
gene_16961	15	88	161
gene_16963	0	0	4
gene_16964	1	2	0
gene_16965	586	1221	2412
gene_16968	0	1	0
gene_16969	29	63	105
gene_16970	81	231	374
gene_16971	0	0	0
gene_16972	0	0	0
gene_16978	778	1427	3197
gene_16979	215	576	725
gene_16980	306	689	1397
gene_16981	40	60	128
gene_16982	463	686	1541
gene_16983	0	0	1
gene_16988	271	485	962
gene_16989	1752	3408	7031
gene_16990	778	1481	3236
gene_16991	1263	2713	6126
gene_16992	47	90	218
gene_16993	707	765	1045
gene_16994	1584	2391	6479
gene_16995	556	1489	2655
gene_16996	546	1120	2660
gene_16997	11	37	72
gene_16998	0	0	1
gene_16999	494	932	1976
gene_17000	1029	1620	3555
gene_17002	1	0	0
gene_17008	0	0	0
gene_17009	0	0	0
gene_17010	0	0	0
gene_17011	335995	1624	4314
gene_17012	99	150	355
gene_17013	1531	3116	7296
gene_17014	891	1501	3189
gene_17015	1	1	3
gene_17016	1156	2168	5098
gene_17017	768	1420	3273
gene_17018	173	294	582
gene_17019	180	374	744
gene_17020	2298	3466	8686
gene_17021	11	38	32
gene_17022	143	293	566
gene_17023	1	3	0
gene_17024	2	10	9
gene_17025	0	2	3
gene_17026	0	1	1
gene_17028	242	385	887
gene_17029	385	651	1551
gene_17030	0	1	2
gene_17031	1836	3052	7213
gene_17032	148	359	782
gene_17033	51	149	309
gene_17034	14	29	98
gene_17035	1	0	1
gene_17036	7	16	53
gene_17037	8	16	64
gene_17038	4	21	44
gene_17042	0	0	0
gene_17045	0	0	0
gene_17047	45	13	49
gene_17048	0	0	5
gene_17049	4	0	4
gene_17050	1	0	7
gene_17051	1	3	5
gene_17052	0	1	6
gene_17053	5817	8926	21111
gene_17054	216	398	819
gene_17055	662	1125	2530
gene_17056	3	0	2
gene_17057	1329	1927	4578
gene_17058	267	486	1436
gene_17059	744	1255	3052
gene_17061	70	136	310
gene_17063	2	0	2
gene_17064	3	4	13
gene_17065	175	447	1130
gene_17066	1	2	12
gene_17067	1	0	0
gene_17068	0	0	1
gene_17069	0	0	0
gene_17070	2	1	1
gene_17071	2	1	1
gene_17072	269	473	1337
gene_17073	1221	3437	9406
gene_17074	2480	7227	21047
gene_17075	570	1075	2524
gene_17076	2547	3549	8449
gene_17077	445	769	1994
gene_17078	623	1042	2317
gene_17079	1018	1481	4268
gene_17080	144	230	588
gene_17081	49	47	261
gene_17082	9	13	29
gene_17083	36	87	106
gene_17084	8	16	32
gene_17085	282	360	954
gene_17086	229	307	758
gene_17087	161	366	914
gene_17088	1	0	6
gene_17090	26	52	146
gene_17091	1	0	11
gene_17095	1	8	13
gene_17097	1397	2293	5836
gene_17098	666	963	2275
gene_17099	319	701	1592
gene_17100	362	588	1187
gene_17101	1	5	3
gene_17102	0	0	5
gene_17103	28	31	26
gene_17105	0	0	0
gene_17107	1	0	1
gene_17108	641	1462	3080
gene_17110	141	365	690
gene_17112	648	917	2723
gene_17113	207	351	784
gene_17114	244	406	897
gene_17115	1	5	19
gene_17116	31	55	121
gene_17117	360	496	1168
gene_17118	617	948	2024
gene_17119	801	1292	2964
gene_17120	0	0	0
gene_17121	45	86	193
gene_17122	158	269	647
gene_17123	408	837	1835
gene_17124	72	146	284
gene_17125	660	966	2800
gene_17127	351	507	1260
gene_17129	16	14	36
gene_17130	4	2	14
gene_17131	2	0	7
gene_17132	38	36	102
gene_17133	61	121	223
gene_17137	0	0	1
gene_17138	6	7	17
gene_17143	39	71	140
gene_17144	4	7	20
gene_17145	0	0	0
gene_17147	0	0	0
gene_17148	0	0	0
gene_17152	1054	21	84
gene_17153	0	0	0
gene_17155	0	0	1
gene_17157	30	49	149
gene_17158	0	0	0
gene_17159	0	0	1
gene_17161	3	3	7
gene_17164	1	3	5
gene_17168	2	3	3
gene_17179	8	5	43
gene_17180	0	5	1
gene_17182	0	0	0
gene_17185	0	0	0
gene_17186	0	0	3
gene_17187	4	7	30
gene_17190	2	2	0
gene_17191	0	0	3
gene_17192	0	0	1
gene_17193	4	0	3
gene_17194	28	44	132
gene_17195	40	70	189
gene_17197	0	0	0
gene_17202	84	142	377
gene_17203	0	0	1
gene_17205	0	0	0
gene_17206	0	0	0
gene_17207	17	46	79
gene_17208	0	0	0
gene_17212	2	6	27
gene_17213	0	0	3
gene_17214	0	0	0
gene_17215	0	0	0
gene_17217	23	61	140
gene_17219	0	0	0
gene_17222	30	105	183
gene_17223	0	0	0
gene_17226	9	32	66
gene_17227	0	2	0
gene_17229	274	682	1235
gene_17230	228	441	879
gene_17231	2	8	16
gene_17233	3478	6514	15617
gene_17234	130	267	495
gene_17235	3582	6593	16038
gene_17236	0	0	1
gene_17237	0	0	1
gene_17238	41	104	183
gene_17239	1	4	4
gene_17240	2	0	0
gene_17241	0	0	3
gene_17242	448	1164	1804
gene_17244	0	0	0
gene_17245	0	2	5
gene_17246	5	5	11
gene_17247	6	4	18
gene_17248	689	1274	2473
gene_17250	47	48	96
gene_17254	1512	3699	7861
gene_17255	332	620	1211
gene_17256	151	298	600
gene_17257	0	0	1
gene_17259	541	1623	2724
gene_17260	0	1	0
gene_17261	111	209	502
gene_17262	1719	3551	7694
gene_17263	1	2	3
gene_17264	0	1	0
gene_17265	2338	5399	9167
gene_17266	990	2545	6586
gene_17273	0	3	17
gene_17274	111	181	302
gene_17275	0	1	2
gene_17276	283	706	1299
gene_17277	0	0	1
gene_17278	76	180	423
gene_17279	450	713	1880
gene_17281	256	489	1132
gene_17282	370	940	1635
gene_17283	273	726	904
gene_17284	12	14	69
gene_17285	2	1	3
gene_17288	2	3	11
gene_17289	2427	1212	2236
gene_17290	94	214	531
gene_17292	757	1606	3474
gene_17293	224	459	724
gene_17294	618	1140	2856
gene_17297	98	251	473
gene_17303	0	0	0
gene_17304	963	1954	4335
gene_17305	0	1	1
gene_17315	1451	2945	6659
gene_17316	238	168	388
gene_17317	1	3	8
gene_17318	37	111	214
gene_17319	0	1	5
gene_17320	108	162	330
gene_17321	2076	4684	9856
gene_17322	75	175	420
gene_17323	9	26	48
gene_17324	6	15	8
gene_17325	6	12	13
gene_17326	43	109	143
gene_17327	312	627	1334
gene_17328	9676	17351	40171
gene_17329	277	504	1071
gene_17330	226	465	869
gene_17332	8	6	11
gene_17333	0	0	0
gene_17339	435	869	1817
gene_17341	1	5	17
gene_17342	525	896	2082
gene_17343	3521	6046	13618
gene_17345	0	0	1
gene_17346	438	747	1575
gene_17347	423	863	1658
gene_17352	0	0	0
gene_17354	1	2	3
gene_17357	1149	1949	5206
gene_17358	0	0	0
gene_17359	53	158	369
gene_17363	49	99	286
gene_17364	1	5	8
gene_17366	12	21	61
gene_17367	918	1758	3858
gene_17373	3	5	21
gene_17374	1	1	3
gene_17375	523	699	1455
gene_17376	544	1167	2156
gene_17377	535	1126	2246
gene_17378	0	1	4
gene_17379	30	56	161
gene_17383	0	0	1
gene_17386	0	0	0
gene_17388	1	7	5
gene_17389	1101	1675	3868
gene_17392	0	0	0
gene_17393	0	3	1
gene_17394	0	0	1
gene_17395	0	2	0
gene_17396	0	5	26
gene_17397	0	5	0
gene_17398	190	432	913
gene_17399	114	477	827
gene_17400	0	0	4
gene_17402	1291	2740	5322
gene_17404	2509	4807	10275
gene_17405	462	994	1844
gene_17406	216	361	812
gene_17407	0	0	0
gene_17410	0	0	0
gene_17411	1	5	11
