gene	KO	Rescue	WT
gene_547	550	1519	3011
gene_550	2023	4855	9063
gene_551	1474	3362	6099
gene_552	54	113	276
gene_553	4654	4220	10386
gene_554	0	0	1
gene_555	966	2015	4389
gene_556	92	264	519
gene_558	0	0	1
gene_559	36	51	95
gene_560	139	312	619
gene_561	797	1635	3422
gene_562	40	99	153
gene_563	802	1809	3628
gene_564	95	231	435
gene_565	65	210	432
gene_566	1432	3406	5897
gene_568	848	2190	4206
gene_569	7	19	20
gene_575	581	1427	3012
gene_576	2	2	17
gene_577	0	0	4
gene_578	124	429	660
gene_579	0	0	0
gene_580	0	1	3
gene_581	2386	2793	5526
gene_582	13	20	69
gene_583	434	987	2109
gene_584	361	775	1658
gene_585	0	2	2
gene_586	1	15	5
gene_588	455	1661	2817
gene_589	71	194	392
gene_590	39	123	226
gene_591	284	622	1179
gene_592	37	83	130
gene_593	112	252	385
gene_594	69	130	288
gene_595	228	490	1003
gene_596	2259	4382	7768
gene_597	354	850	1512
gene_600	0	1	2
gene_601	9	35	43
gene_602	0	0	0
gene_603	4	2	6
gene_604	224	495	906
gene_605	0	0	0
gene_607	386	659	1191
gene_608	385	658	1186
gene_609	417	697	1492
gene_610	0	0	3
gene_611	330	680	1211
gene_612	4087	8654	18004
gene_613	678	1572	2913
gene_614	13	19	19
gene_615	430	734	1577
gene_618	393	749	1669
gene_619	1	3	6
gene_620	6560	10998	22517
gene_621	1313	2351	5109
gene_622	14	27	55
gene_623	1359	2736	5302
gene_624	282	657	1336
gene_625	588	1130	2659
gene_626	2190	3000	7397
gene_627	462	830	2036
gene_628	10	24	38
gene_629	202	318	755
gene_630	14914	3413	8151
gene_631	70	416	704
gene_632	377	721	1611
gene_633	1825	3387	9166
gene_634	2	5	18
gene_635	625	1325	2852
gene_637	1277	2481	5176
gene_638	594	1205	2727
gene_639	231	493	1036
gene_640	206	356	864
gene_642	0	2	1
gene_643	3	11	11
gene_644	3146	6517	14719
gene_646	0	4	8
gene_647	774	1373	3147
gene_650	502	1234	1543
gene_651	0	0	0
gene_652	0	0	2
gene_653	142	281	555
gene_654	561	1419	2714
gene_657	11	32	63
gene_658	639	1412	2594
gene_660	0	0	3
gene_661	472	994	1976
gene_662	380	719	1196
gene_663	57	94	184
gene_664	62	125	264
gene_665	193	423	779
gene_666	19	55	102
gene_667	724	1474	2768
gene_668	1079	1269	3820
gene_669	1	13	7
gene_671	220	537	1297
gene_672	11035	420	810
gene_673	667	1425	2667
gene_674	1667	2637	5962
gene_675	239	484	745
gene_676	2	2	1
gene_677	257	487	1040
gene_678	101	217	415
gene_679	235	537	1022
gene_680	9	16	46
gene_681	2	2	1
gene_683	241	451	960
